"Measure","Category","Subcategory","Source","Numerator","Denominator","Is Preprocessed","GEOID Column","Weights","Years","Geographic Level","Directionality","Scale","Filename","Date","Race Stratification","Geographically Granular","Race Stratification Not Available","Geographic Boundaries","Measure Description","Is_Numeric","Minimum","Maximum","Missing","Number_Rows","Total_Penalty","Effective_Weights"
"Access to Financial Services","Social Determinants of Health","Financial Access","FDIC/NCUA/ZBP","Financial_Accessibility_County",,FALSE,"STCNTY",4,"2019, 2021","County",1,1,"New_America_Financial_Accessibility.csv",2021-08-10 15:02:00,FALSE,FALSE,FALSE,2020,"Difference between the number of mainstream financial services and alternative financial services.",TRUE,-1791,194,7,3244,0.1,3.45415778251599
"Alcohol Outlet Density","Social Determinants of Health","Built Environment","CBP","alcoholoutlet_pop",,TRUE,"fips",4,"2019","County",-1,10000,"CBP_County_AlcoholOutlet.csv",2021-04-19 11:37:00,FALSE,FALSE,FALSE,2010,"Number of off-premises (purchases intended to be consumed off-site) alcohol outlets per 10,000 people.",TRUE,0,0.00474495848161329,29,3222,0.1,3.45415778251599
"Below 100% Federal Poverty Level","Social Determinants of Health","Income & Employment","ACS","povertystatus_below100povertylevel_pop","povertystatus_denom_pop",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-13 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of individuals below 100% of the federal poverty level.",TRUE,0,33294,17,33774,0,4.26439232409382
"Broadband Access","Social Determinants of Health","Built Environment","ACS","computerinternet_computerandbroadband_pop","computerinternet_denom_pop",TRUE,"GEOID",4,"2015 - 2019","ZCTA",1,100,"ACS_API_Data.csv",2021-06-19 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of households with a computer and access to broadband internet.",TRUE,0,39314,17,33774,0,4.26439232409382
"Housing Stress","Social Determinants of Health","Housing","HUD","housing_stress_pop",,TRUE,"geoid",4,"2013-2017","Census Tract",-1,1,"HUD_CT_housingstress.csv",2021-04-12 13:46:00,TRUE,TRUE,FALSE,2010,"Percent of households experiencing housing stress, as defined by meeting one or more of the following conditions: (1) housing expense/income threshold: monthly housing costs, including utilities, exceed 30% of income, (2) crowding: more household members than rooms, (3) incomplete plumbing: home lacks necessary bathroom facilities, and (4) incomplete kitchen: home lacks essential kitchen facilities.",TRUE,0,Inf,1637,83717,0,4.26439232409382
"Living Within a Half-Mile of a Park","Social Determinants of Health","Built Environment","CDC EPH Tracking","environment_withinhalfmilepark_pop",,TRUE,"Census_Tract",4,"2015","Census Tract",1,1,"half_mile_park_pop.csv",2021-06-02 00:00:00,FALSE,TRUE,FALSE,2010,"Percent of the population that lives within a half-mile of a park.",TRUE,0,100,1168,84186,0,4.26439232409382
"Mortgage Lending Difference","Social Determinants of Health","Financial Access","HMDA","approval_difference_pop",,TRUE,"ZCTA",4,"2020","ZCTA",1,1,"HMDA_Mortgage_Approval_2021.csv",2021-08-23 10:53:00,TRUE,TRUE,FALSE,2020,"Difference in percent of mortgage applications accepted between all applicants and minority applicants.",TRUE,-82.9545454545455,93.75,4643,29148,0,4.26439232409382
"No High School Diploma","Social Determinants of Health","Education Success","ACS","educationalattainment_lessthanhighschool_pop","educationalattainment_denom_pop",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-11 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of population age 25 or older without a high school diploma or equivalent.",TRUE,0,35302,149,33642,0,4.26439232409382
"Nursery and Preschool Enrollment","Social Determinants of Health","Education Success","ACS","earlychildhoodeducation_enrolled_pop","earlychildhoodeducation_denom_pop",TRUE,"GEOID",4,"2015-2019","ZCTA",1,100,"ACS_API_Data.csv",2021-08-02 00:00:00,TRUE,TRUE,FALSE,2020,"Percent of children enrolled in nursery school or pre-school.",TRUE,0,4501,17,33774,0,4.26439232409382
"Police Killings","Social Determinants of Health","Safety & Community Trauma","Mapping Police Violence","policeviolence_harmonicmean_pop",,TRUE,"ZCTA",4,"2015 - 2019","ZCTA",-1,10000,"MPV_ZCTA_policeviolence.csv",2021-10-14 00:00:00,TRUE,TRUE,FALSE,2010,"Estimated incidence of police killings per 100,000 people.",TRUE,0,0.000428117113803867,172,33619,0,4.26439232409382
"Residential Segregation","Social Determinants of Health","Housing","ACS","iceabs_numerator_pop","ice_denom_pop",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,1,"ACS_API_Data.csv",2021-06-17 12:39:00,TRUE,TRUE,FALSE,2020,"The Index of Concentration at the Extremes (ICE) is measure of economic and racial/ethnic spatial polarization and proxy for residential segregation, defined as the absolute difference between the percent of the total population that is high-income and majority versus low-income and minority in a population.",TRUE,0,15023,17,33774,0,4.26439232409382
"Third Places","Social Determinants of Health","Social Capital","CBP","thirdspaces_pop",,TRUE,"ZCTA",4,"2019","ZCTA",1,1,"NAICS_Third_Spaces.csv",2021-11-03 09:09:00,FALSE,TRUE,FALSE,2010,"Number of third places, defined as places where people spend time outside of their home (“first place”) and their work (“second place”), per 100,000 people.",TRUE,0,110392.121171439,154,33637,0,4.26439232409382
"Unemployment","Social Determinants of Health","Income & Employment","ACS","unemployment_unemployed_pop","unemployment_denom_pop",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-10 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of labor force that is unemployed.",TRUE,0,6534,17,33774,0,4.26439232409382
"Violent Crime","Social Determinants of Health","Safety & Community Trauma","CHR","violentcrime_incidentsper100000_pop",,TRUE,"fullFIPS",4,"2014, 2016","County",-1,1,"CHR_County_violent_crime.csv",2021-05-05 00:00:00,FALSE,FALSE,TRUE,2010,"Number of violent crimes reported per 100,000 people.",TRUE,0,1819.5144065,300,2951,0.2,2.72921108742004
